카테고리: 모든 카테고리

국가,Baby Shark: (24. 1. 1.~25. 1. 1.),Pinkfong: (24. 1. 1.~25. 1. 1.),bebefinn: (24. 1. 1.~25. 1. 1.)
부탄,100%,,
레소토,100%,,
말라위,45%,,55%
몰디브,29%,31%,40%
베트남,54%,35%,11%
몽골,21%,31%,48%
나이지리아,41%,19%,40%
투르크메니스탄,36%,63%,1%
우즈베키스탄,24%,21%,55%
잠비아,19%,22%,59%
트리니다드 토바고,37%,63%,
포르투갈,37%,19%,44%
에티오피아,28%,17%,55%
그리스,56%,21%,23%
말레이시아,13%,60%,27%
남아프리카,15%,24%,61%
카메룬,29%,,71%
네팔,49%,25%,26%
미얀마,17%,44%,39%
가나,16%,21%,63%
오만,16%,38%,46%
쿠웨이트,20%,43%,37%
뉴질랜드,20%,54%,26%
캐나다,19%,54%,27%
싱가포르,7%,66%,27%
스리랑카,23%,37%,40%
파라과이,2%,10%,88%
이라크,26%,32%,42%
케냐,11%,19%,70%
캄보디아,21%,58%,21%
파키스탄,19%,35%,46%
필리핀,5%,48%,47%
아랍에미리트,10%,45%,45%
오스트레일리아,14%,52%,34%
영국,15%,54%,31%
홍콩,9%,62%,29%
아일랜드,10%,51%,39%
알제리,20%,38%,42%
인도네시아,11%,58%,31%
미국,11%,61%,28%
불가리아,30%,43%,27%
튀니지,34%,66%,
이란,14%,52%,34%
튀르키예,20%,33%,47%
이탈리아,14%,31%,55%
사우디아라비아,17%,42%,41%
폴란드,26%,50%,24%
카자흐스탄,17%,51%,32%
방글라데시,24%,36%,40%
루마니아,19%,50%,31%
노르웨이,23%,48%,29%
태국,16%,70%,14%
우크라이나,26%,53%,21%
브라질,4%,23%,73%
오스트리아,31%,45%,24%
인도,28%,35%,37%
이스라엘,19%,52%,29%
이집트,17%,46%,37%
대만,9%,41%,50%
벨기에,17%,51%,32%
헝가리,18%,55%,27%
베네수엘라,1%,9%,90%
핀란드,26%,54%,20%
독일,22%,53%,25%
네덜란드,21%,53%,26%
칠레,2%,34%,64%
스웨덴,17%,57%,26%
멕시코,2%,26%,72%
스위스,18%,38%,44%
일본,16%,46%,38%
대한민국,8%,83%,9%
스페인,2%,23%,75%
프랑스,16%,46%,38%
체코,16%,62%,22%
러시아,18%,70%,12%
페루,<1%,17%,83%
콜롬비아,1%,16%,83%
아르헨티나,<1%,15%,85%
레바논,,,
짐바브웨,,,
조지아,,,
건지,,,
미크로네시아,,,
지브롤터,,,
기니,,,
과들루프,,,
감비아,,,
기니비사우,,,
적도 기니,,,
페로 제도,,,
